title,albumid,numberoftracks
Powerslave,107,8
Jagged Little Pill,6,13
All That You Can't Leave Behind,233,11
Transmission,220,11
Quanta Gente Veio Ver (Live),86,15
Blue Moods,93,13
American Idiot,89,13
Tangents,219,15
Un-Led-Ed,252,1
UB40 The Best Of - Volume Two [UK],241,14
Walking Into Clarksdale,175,12
Respighi:Pines of Rome,343,1
Bongo Fury,31,9
A Soprano Inspired,285,1
Bach: Orchestral Suites Nos. 1 - 4,327,1
The Final Concerts (Disc 2),50,4
"Battlestar Galactica (Classic), Season 1",253,24
Alcohol Fueled Brewtality Live! [Disc 1],14,13
"Lost, Season 2",231,24
The Battle Rages On,66,10
Liszt - 12 Études D'Execution Transcendante,340,1
Rock In Rio [CD2],109,9
St. Anger,155,11
The Best Of Billy Cobham,13,8
Led Zeppelin II,133,9
Californication,195,15
Balls to the Wall,2,1
Maquinarama,199,12
Contraband,246,13
Angel Dust,75,14
Coda,128,8
Great Recordings of the Century: Paganini's 24 Caprices,339,1
"The Best Of Van Halen, Vol. I",243,17
Olodum,166,14
Schubert: The Late String Quartets & String Quintet (3 CD's),344,1
Lulu Santos - RCA 100 Anos De Música - Álbum 01,142,14
"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro",335,1
Master Of Puppets,152,8
"Lost, Season 1",230,25
Chopin: Piano Concertos Nos. 1 & 2,301,1
Facelift,7,12
Serie Sem Limite (Disc 1),222,15
Heart of the Night,38,12
Blood Sugar Sex Magik,193,17
Aquaman,254,1
Nevermind,164,12
Deixa Entrar,78,14
No Security,217,14
Minas,159,13
"The Office, Season 2",250,22
News Of The World,186,11
The Best of Ed Motta,47,14
The Beast Live,177,10
The Best Of Buddy Guy - The Millenium Collection,20,11
Armada: Music from the Courts of England and Spain,319,1
Vs.,182,12
For Those About To Rock We Salute You,1,10
King For A Day Fool For A Lifetime,76,15
Piece Of Mind,106,9
Body Count,18,17
Seventh Son of a Seventh Son,110,8
Live On Two Legs [Live],178,16
Barulhinho Bom,145,18
Houses Of The Holy,129,8
Cidade Negra - Hits,27,14
Lulu Santos - RCA 100 Anos De Música - Álbum 02,143,14
A-Sides,203,17
Come Taste The Band,58,9
"Heroes, Season 1",228,23
Warner 25 Anos,8,14
Mozart: Chamber Music,346,1
Great Performances - Barber's Adagio and Other Romantic Favorites for Strings,294,1
Elis Regina-Minha História,71,14
Worlds,267,1
"Lost, Season 3",229,26
Outbreak,68,9
Beethoven Piano Sonatas: Moonlight & Pastorale,304,1
Seek And Shall Find: More Of The Best (1963-1981),146,18
In Your Honor [Disc 2],80,10
Vinícius De Moraes - Sem Limite,52,15
House of Pain,258,19
Motley Crue Greatest Hits,162,17
"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",341,1
Led Zeppelin I,132,9
Frank,322,11
Roda De Funk,84,16
Bark at the Moon (Remastered),170,1
Raul Seixas,192,14
Górecki: Symphony No. 3,330,1
Bach: Violin Concertos,276,1
Rattle And Hum,237,17
Killers,101,10
Djavan Ao Vivo - Vol. 02,69,13
Quiet Songs,262,2
Carried to Dust (Bonus Track Version),323,1
"Szymanowski: Piano Works, Vol. 1",337,1
Mozart: Symphonies Nos. 40 & 41,320,1
Sex Machine,115,20
Virtual XI,114,8
Fireball,60,7
Brave New World,97,10
The Best Of 1980-1990,238,14
The Number of The Beast,112,8
Rock In Rio [CD1],108,10
Deep Purple In Rock,59,7
Tchaikovsky: The Nutcracker,289,1
The Best of Beethoven,268,1
Stormbringer,65,9
BBC Sessions [Disc 2] [Live],127,10
Cafezinho,124,14
Dance Of Death,98,11
South American Getaway,329,1
O Samba Poconé,200,11
Physical Graffiti [Disc 1],44,6
Out Of Exile,11,12
How To Dismantle An Atomic Bomb,235,11
The Colour And The Shape,82,13
Get Born,119,13
Elgar: Cello Concerto & Vaughan Williams: Fantasias,306,1
Great Opera Choruses,286,1
ReLoad,153,13
Handel: The Messiah (Highlights),279,1
The Best Of Men At Work,147,10
The Doors,214,11
Nielsen: The Six Symphonies,338,1
Rotten Apples: Greatest Hits,202,18
Plays Metallica By Four Cellos,9,8
In Your Honor [Disc 1],79,10
Acústico MTV [Live],26,17
As Canções de Eu Tu Eles,85,14
The Cream Of Clapton,72,18
Sir Neville Marriner: A Celebration,281,1
A Real Dead One,95,12
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,259,17
Achtung Baby,232,12
The Real Thing,77,11
Mascagni: Cavalleria Rusticana,302,1
Diary of a Madman (Remastered),172,1
BBC Sessions [Disc 1] [Live],30,14
"Fauré: Requiem, Ravel: Pavane & Others",288,1
Prenda Minha,21,18
IV,131,8
Restless and Wild,3,3
Beethoven: Symphony No. 6 'Pastoral' Etc.,324,1
Santana Live,198,6
Black Sabbath Vol. 4 (Remaster),17,10
Prokofiev: Romeo & Juliet,310,1
Beyond Good And Evil,212,12
Greatest Kiss,37,20
Na Pista,28,10
"The Office, Season 1",249,6
Instant Karma: The Amnesty International Campaign to Save Darfur,255,23
Compositores,165,15
Cássia Eller - Coleção Sem Limite [Disc 2],56,15
Load,151,14
"A Copland Celebration, Vol. I",296,1
Live [Disc 1],209,10
Album Of The Year,74,12
Volume Dois,225,16
The Song Remains The Same (Disc 2),138,4
Chill: Brazil (Disc 2),34,17
Van Halen III,245,12
In Step,205,10
My Way: The Best Of Frank Sinatra [Disc 1],83,24
Vault: Def Leppard's Greatest Hits,67,16
Purcell: Music for the Queen Mary,333,1
Purpendicular,63,12
Bartok: Violin & Viola Concertos,325,1
Appetite for Destruction,90,12
"Hot Rocks, 1964-1971 (Disc 1)",216,12
Tribute,174,14
Sambas De Enredo 2001,45,14
Carmina Burana,295,1
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",213,18
Led Zeppelin III,134,10
Weill: The Seven Deadly Sins,334,1
Pachelbel: Canon & Gigue,274,1
Misplaced Childhood,144,10
International Superhits,39,21
Arquivo II,168,12
From The Muddy Banks Of The Wishkah [Live],163,17
Serie Sem Limite (Disc 2),223,15
Greatest Hits II,36,17
Wagner: Favourite Overtures,287,1
My Generation - The Very Best Of The Who,221,20
Live After Death,102,18
Berlioz: Symphonie Fantastique,312,1
Acústico MTV,167,21
Milton Nascimento Ao Vivo,158,13
Bach: Goldberg Variations,277,1
The Last Night of the Proms,290,1
Bach: The Brandenburg Concertos,300,1
The Return Of The Space Cowboy,118,11
Mozart Gala: Famous Arias,317,1
Beethoven: Symhonies Nos. 5 & 6,284,1
Every Kind of Light,265,2
"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",342,1
Somewhere in Time,111,8
Black Sabbath,16,7
Mezmerize,207,11
Machine Head,62,7
Jota Quest-1995,123,12
Unplugged [Live],126,15
By The Way,194,16
Mendelssohn: A Midsummer Night's Dream,326,1
Fear Of The Dark,99,12
Meus Momentos,41,14
Core,206,12
Supernatural,46,13
Acústico,224,22
Miles Ahead,157,14
Vozes do MPB,53,14
Carnaval 2001,32,14
Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,336,1
SCRIABIN: Vers la flamme,318,1
Vivaldi: The Four Seasons,275,1
Vinicius De Moraes,247,15
Cake: B-Sides and Rarities,260,1
"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",308,1
Dark Side Of The Moon,183,9
Iron Maiden,100,9
Bizet: Carmen Highlights,313,1
Presence,136,7
Kill 'Em All,150,10
Mais Do Mesmo,140,16
A TempestadeTempestade Ou O Livro Dos Dias,139,15
BackBeat Soundtrack,12,12
Ao Vivo [IMPORT],248,19
The Song Remains The Same (Disc 1),137,5
Pavarotti's Opera Made Easy,293,1
[1997] Black Light Syndrome,208,7
Afrociberdelia,24,23
Cesta Básica,191,10
Da Lama Ao Caos,25,13
Greatest Hits,141,57
Jorge Ben Jor 25 Anos,122,14
A Matter of Life and Death,94,11
Voodoo Lounge,218,15
Ride The Lightning,154,8
B-Sides 1980-1990,234,15
The Essential Miles Davis [Disc 2],49,10
Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,316,1
The Singles,211,18
Speak of the Devil,256,12
The Ultimate Relexation Album,332,1
Chill: Brazil (Disc 1),33,17
Realize,264,2
Greatest Hits I,185,17
Slaves And Masters,64,9
The Police Greatest Hits,215,14
"Chronicle, Vol. 2",55,20
Black Album,148,12
In Through The Out Door,130,7
Carry On,270,14
Minha Historia,23,34
